mot;theme;score_v2;classe;zipf_books;ratio;categories_wikt;has_lexique;has_wikt;raisons
circonspect;Esprit & Caractère;1.0;Excellent;3.292;49.0;;oui;non;absent des catégories Wiktionnaire
clair-obscur;Lumière & Ombres;1.0;Excellent;3.21;50.0;;oui;non;absent des catégories Wiktionnaire
claustration;Sentiments & Psyché;1.0;Excellent;3.004;50.0;;oui;non;absent des catégories Wiktionnaire
commisération;Sentiments & Psyché;1.0;Excellent;3.398;17.857;soutenu;oui;oui;
condottiere;Esprit & Caractère;1.0;Excellent;2.732;10.0;;oui;non;absent des catégories Wiktionnaire
contingence;Philosophie & Idées;1.0;Excellent;3.173;37.25;;oui;non;absent des catégories Wiktionnaire
coruscant;Lumière & Ombres;1.0;Excellent;2.146;10.0;littéraire;oui;oui;
céruléen;Nature & Cosmos;1.0;Excellent;2.672;10.0;soutenu+poétique;oui;oui;
diaphane;Lumière & Ombres;1.0;Excellent;3.307;50.0;soutenu;oui;oui;
diatribe;Art & Langage;1.0;Excellent;3.173;12.417;;oui;non;absent des catégories Wiktionnaire
dilection;Sentiments & Psyché;1.0;Excellent;2.732;10.0;littéraire;oui;oui;
dirimant;Philosophie & Idées;1.0;Excellent;1.845;10.0;soutenu;oui;oui;
dogme;Philosophie & Idées;1.0;Excellent;3.152;10.143;;oui;non;absent des catégories Wiktionnaire
désabusé;Sentiments & Psyché;1.0;Excellent;3.483;38.0;;oui;non;absent des catégories Wiktionnaire
désuet;Temps & Éphémère;1.0;Excellent;3.21;10.125;;oui;non;absent des catégories Wiktionnaire
empyrée;Nature & Cosmos;1.0;Excellent;2.869;10.0;littéraire;oui;oui;
estocade;Art & Langage;1.0;Excellent;2.613;13.667;littéraire;oui;oui;
faconde;Art & Langage;1.0;Excellent;3.21;10.0;;oui;non;absent des catégories Wiktionnaire
facétieux;Esprit & Caractère;1.0;Excellent;2.944;12.571;;oui;non;absent des catégories Wiktionnaire
fallacieux;Esprit & Caractère;1.0;Excellent;3.13;13.5;;oui;non;absent des catégories Wiktionnaire
flegmatique;Esprit & Caractère;1.0;Excellent;2.869;37.0;;oui;non;absent des catégories Wiktionnaire
flibustier;Esprit & Caractère;1.0;Excellent;2.833;17.0;;oui;non;absent des catégories Wiktionnaire
flâneur;Esprit & Caractère;1.0;Excellent;2.944;50.0;;oui;non;absent des catégories Wiktionnaire
fuligineux;Lumière & Ombres;1.0;Excellent;3.033;50.0;littéraire;oui;oui;
graveleux;Esprit & Caractère;1.0;Excellent;2.833;17.0;;oui;non;absent des catégories Wiktionnaire
grimoire;Art & Langage;1.0;Excellent;2.869;37.0;;oui;non;absent des catégories Wiktionnaire
grivois;Esprit & Caractère;1.0;Excellent;2.732;50.0;;oui;non;absent des catégories Wiktionnaire
grivoiserie;Esprit & Caractère;1.0;Excellent;2.146;10.0;;oui;non;absent des catégories Wiktionnaire
grognard;Esprit & Caractère;1.0;Excellent;2.672;10.0;;oui;non;absent des catégories Wiktionnaire
harangue;Art & Langage;1.0;Excellent;2.908;50.0;;oui;non;absent des catégories Wiktionnaire
haruspice;Philosophie & Idées;1.0;Excellent;2.146;14.0;;oui;non;absent des catégories Wiktionnaire
hémistiche;Art & Langage;1.0;Excellent;2.146;14.0;;oui;non;absent des catégories Wiktionnaire
héraut;Art & Langage;1.0;Excellent;2.785;50.0;;oui;non;absent des catégories Wiktionnaire
ilote;Esprit & Caractère;1.0;Excellent;2.531;10.0;littéraire;oui;oui;
imbrication;Philosophie & Idées;1.0;Excellent;2.672;10.0;;oui;non;absent des catégories Wiktionnaire
immémorial;Temps & Éphémère;1.0;Excellent;3.276;10.0;;oui;non;absent des catégories Wiktionnaire
impéritie;Esprit & Caractère;1.0;Excellent;2.301;10.0;soutenu;oui;oui;
incandescent;Lumière & Ombres;1.0;Excellent;3.292;13.067;;oui;non;absent des catégories Wiktionnaire
incurie;Esprit & Caractère;1.0;Excellent;2.833;6.182;soutenu;oui;oui;
infrangible;Philosophie & Idées;1.0;Excellent;2.431;27.0;soutenu+littéraire;oui;oui;
insidieux;Esprit & Caractère;1.0;Excellent;3.386;16.2;;oui;non;absent des catégories Wiktionnaire
intemporel;Temps & Éphémère;1.0;Excellent;2.869;10.571;;oui;non;absent des catégories Wiktionnaire
intransigeance;Esprit & Caractère;1.0;Excellent;3.464;50.0;;oui;non;absent des catégories Wiktionnaire
irisé;Lumière & Ombres;1.0;Excellent;2.785;10.0;;oui;non;absent des catégories Wiktionnaire
laconique;Art & Langage;1.0;Excellent;3.19;25.833;;oui;non;absent des catégories Wiktionnaire
langueur;Sentiments & Psyché;1.0;Excellent;3.577;10.5;littéraire;oui;oui;
larron;Esprit & Caractère;1.0;Excellent;2.978;2.794;littéraire;oui;oui;
laudateur;Art & Langage;1.0;Excellent;1.845;10.0;soutenu;oui;oui;
libation;Art & Langage;1.0;Excellent;3.107;50.0;;oui;non;absent des catégories Wiktionnaire
liturgie;Art & Langage;1.0;Excellent;3.32;50.0;;oui;non;absent des catégories Wiktionnaire
longanimité;Esprit & Caractère;1.0;Excellent;2.146;10.0;littéraire;oui;oui;
lustral;Nature & Cosmos;1.0;Excellent;2.869;10.0;;oui;non;absent des catégories Wiktionnaire
lyrisme;Art & Langage;1.0;Excellent;3.493;11.962;;oui;non;absent des catégories Wiktionnaire
malandrin;Esprit & Caractère;1.0;Excellent;2.672;1.679;littéraire;oui;oui;
mansuétude;Esprit & Caractère;1.0;Excellent;3.307;11.941;;oui;non;absent des catégories Wiktionnaire
marmiton;Esprit & Caractère;1.0;Excellent;2.869;50.0;;oui;non;absent des catégories Wiktionnaire
mignardise;Art & Langage;1.0;Excellent;2.869;50.0;littéraire;oui;oui;
mélopée;Art & Langage;1.0;Excellent;3.453;50.0;;oui;non;absent des catégories Wiktionnaire
nadir;Nature & Cosmos;1.0;Excellent;2.301;20.0;;oui;non;absent des catégories Wiktionnaire
nimbe;Lumière & Ombres;1.0;Excellent;2.908;50.0;littéraire;oui;oui;
noctambule;Esprit & Caractère;1.0;Excellent;2.944;50.0;;oui;non;absent des catégories Wiktionnaire
nébuleux;Nature & Cosmos;1.0;Excellent;2.833;1.789;littéraire;oui;oui;
oblation;Art & Langage;1.0;Excellent;2.301;10.0;;oui;non;absent des catégories Wiktionnaire
obsidional;Philosophie & Idées;1.0;Excellent;2.531;10.0;;oui;non;absent des catégories Wiktionnaire
ondée;Nature & Cosmos;1.0;Excellent;3.26;10.0;;oui;non;absent des catégories Wiktionnaire
opalin;Lumière & Ombres;1.0;Excellent;3.107;50.0;;oui;non;absent des catégories Wiktionnaire
opiniâtre;Esprit & Caractère;1.0;Excellent;3.348;37.167;;oui;non;absent des catégories Wiktionnaire
ostentatoire;Esprit & Caractère;1.0;Excellent;3.152;17.75;;oui;non;absent des catégories Wiktionnaire
outrecuidance;Esprit & Caractère;1.0;Excellent;2.869;50.0;;oui;non;absent des catégories Wiktionnaire
paladin;Esprit & Caractère;1.0;Excellent;2.732;3.375;littéraire;oui;oui;
palimpseste;Art & Langage;1.0;Excellent;2.301;10.0;;oui;non;absent des catégories Wiktionnaire
parangon;Esprit & Caractère;1.0;Excellent;3.033;9.0;littéraire;oui;oui;
parvis;Nature & Cosmos;1.0;Excellent;3.798;33.053;poétique;oui;oui;
pataquès;Art & Langage;1.0;Excellent;2.531;17.0;;oui;non;absent des catégories Wiktionnaire
patricien;Esprit & Caractère;1.0;Excellent;2.531;34.0;;oui;non;absent des catégories Wiktionnaire
phosphorescence;Lumière & Ombres;1.0;Excellent;2.833;34.0;;oui;non;absent des catégories Wiktionnaire
pistil;Nature & Cosmos;1.0;Excellent;2.672;23.5;;oui;non;absent des catégories Wiktionnaire
placidité;Sentiments & Psyché;1.0;Excellent;3.307;10.0;;oui;non;absent des catégories Wiktionnaire
potentat;Esprit & Caractère;1.0;Excellent;2.531;3.4;soutenu;oui;oui;
prodigalité;Esprit & Caractère;1.0;Excellent;2.978;31.667;;oui;non;absent des catégories Wiktionnaire
prolixité;Art & Langage;1.0;Excellent;2.301;10.0;;oui;non;absent des catégories Wiktionnaire
psalmodier;Art & Langage;1.0;Excellent;2.908;50.0;;oui;non;absent des catégories Wiktionnaire
psautier;Art & Langage;1.0;Excellent;2.146;10.0;;oui;non;absent des catégories Wiktionnaire
pugnace;Esprit & Caractère;1.0;Excellent;2.146;2.333;littéraire;oui;oui;
pusillanime;Esprit & Caractère;1.0;Excellent;2.908;27.0;littéraire;oui;oui;
pythonisse;Philosophie & Idées;1.0;Excellent;2.301;10.0;;oui;non;absent des catégories Wiktionnaire
périssable;Temps & Éphémère;1.0;Excellent;3.13;11.25;;oui;non;absent des catégories Wiktionnaire
pétulant;Sentiments & Psyché;1.0;Excellent;2.301;20.0;;oui;non;absent des catégories Wiktionnaire
quiétude;Sentiments & Psyché;1.0;Excellent;3.705;7.922;littéraire;oui;oui;
réminiscence;Temps & Éphémère;1.0;Excellent;3.386;34.714;;oui;non;absent des catégories Wiktionnaire
sibyllin;Philosophie & Idées;1.0;Excellent;2.978;47.5;;oui;non;absent des catégories Wiktionnaire
sicaire;Esprit & Caractère;1.0;Excellent;1.845;10.0;littéraire;oui;oui;
sidéral;Nature & Cosmos;1.0;Excellent;2.613;10.25;littéraire;oui;oui;
simagrée;Esprit & Caractère;1.0;Excellent;3.473;3.3;soutenu;oui;oui;
soliloque;Art & Langage;1.0;Excellent;2.908;50.0;;oui;non;absent des catégories Wiktionnaire
sophisme;Philosophie & Idées;1.0;Excellent;2.531;10.0;;oui;non;absent des catégories Wiktionnaire
sourcilleux;Esprit & Caractère;1.0;Excellent;3.061;50.0;littéraire;oui;oui;
spadassin;Esprit & Caractère;1.0;Excellent;2.833;34.0;;oui;non;absent des catégories Wiktionnaire
spleen;Sentiments & Psyché;1.0;Excellent;3.13;12.273;;oui;non;absent des catégories Wiktionnaire
substantifique;Philosophie & Idées;1.0;Excellent;2.301;10.0;;oui;non;absent des catégories Wiktionnaire
syllogisme;Philosophie & Idées;1.0;Excellent;2.613;10.0;;oui;non;absent des catégories Wiktionnaire
sylphide;Nature & Cosmos;1.0;Excellent;2.301;20.0;;oui;non;absent des catégories Wiktionnaire
syncrétisme;Philosophie & Idées;1.0;Excellent;2.146;10.0;;oui;non;absent des catégories Wiktionnaire
sénescence;Temps & Éphémère;1.0;Excellent;2.146;14.0;;oui;non;absent des catégories Wiktionnaire
taciturne;Esprit & Caractère;1.0;Excellent;3.733;5.817;littéraire;oui;oui;
thaumaturge;Philosophie & Idées;1.0;Excellent;2.531;10.0;;oui;non;absent des catégories Wiktionnaire
thuriféraire;Esprit & Caractère;1.0;Excellent;2.301;10.0;soutenu;oui;oui;
transcendance;Philosophie & Idées;1.0;Excellent;2.785;15.25;;oui;non;absent des catégories Wiktionnaire
trépas;Temps & Éphémère;1.0;Excellent;3.19;4.079;soutenu;oui;oui;
trépidation;Art & Langage;1.0;Excellent;3.086;12.2;;oui;non;absent des catégories Wiktionnaire
urbanité;Esprit & Caractère;1.0;Excellent;2.613;10.0;;oui;non;absent des catégories Wiktionnaire
valétudinaire;Esprit & Caractère;1.0;Excellent;2.146;14.0;soutenu;oui;oui;
vaticination;Art & Langage;1.0;Excellent;2.613;10.0;littéraire;oui;oui;
velléité;Esprit & Caractère;1.0;Excellent;3.373;23.6;;oui;non;absent des catégories Wiktionnaire
vergogne;Esprit & Caractère;1.0;Excellent;3.607;7.941;littéraire;oui;oui;
vespéral;Lumière & Ombres;1.0;Excellent;2.785;10.0;soutenu;oui;oui;
vicissitude;Temps & Éphémère;1.0;Excellent;3.307;50.0;;oui;non;absent des catégories Wiktionnaire
villégiature;Nature & Cosmos;1.0;Excellent;3.334;21.6;;oui;non;absent des catégories Wiktionnaire
volubilité;Art & Langage;1.0;Excellent;3.19;10.0;;oui;non;absent des catégories Wiktionnaire
vélin;Art & Langage;1.0;Excellent;2.785;10.0;;oui;non;absent des catégories Wiktionnaire
zéphyr;Nature & Cosmos;1.0;Excellent;2.672;11.75;;oui;non;absent des catégories Wiktionnaire
égrotant;Esprit & Caractère;1.0;Excellent;2.301;10.0;littéraire;oui;oui;
éolien;Nature & Cosmos;1.0;Excellent;3.061;10.0;;oui;non;absent des catégories Wiktionnaire
équanimité;Sentiments & Psyché;1.0;Excellent;2.146;10.0;soutenu;oui;oui;
étamine;Nature & Cosmos;1.0;Excellent;2.785;12.2;;oui;non;absent des catégories Wiktionnaire
éthéré;Nature & Cosmos;1.0;Excellent;2.613;10.0;poétique;oui;oui;
évanescent;Temps & Éphémère;1.0;Excellent;2.833;50.0;;oui;non;absent des catégories Wiktionnaire
ondine;Nature & Cosmos;0.989;Bon;2.531;1.7;poétique;oui;oui;
ambiguïté;Philosophie & Idées;0.98;Bon;3.453;7.282;;oui;non;absent des catégories Wiktionnaire
bucolique;Nature & Cosmos;0.98;Bon;2.978;6.786;;oui;non;absent des catégories Wiktionnaire
caduc;Temps & Éphémère;0.98;Bon;2.869;5.286;;oui;non;absent des catégories Wiktionnaire
collusion;Esprit & Caractère;0.98;Bon;2.732;5.4;;oui;non;absent des catégories Wiktionnaire
corolle;Nature & Cosmos;0.98;Bon;3.307;7.808;;oui;non;absent des catégories Wiktionnaire
dolent;Sentiments & Psyché;0.98;Bon;3.13;5.0;;oui;non;absent des catégories Wiktionnaire
estafette;Esprit & Caractère;0.98;Bon;3.386;7.364;;oui;non;absent des catégories Wiktionnaire
esthète;Art & Langage;0.98;Bon;3.173;5.519;;oui;non;absent des catégories Wiktionnaire
exsangue;Lumière & Ombres;0.98;Bon;3.453;6.455;;oui;non;absent des catégories Wiktionnaire
famélique;Esprit & Caractère;0.98;Bon;3.152;9.467;;oui;non;absent des catégories Wiktionnaire
hypocondrie;Sentiments & Psyché;0.98;Bon;2.431;6.75;;oui;non;absent des catégories Wiktionnaire
hécatombe;Temps & Éphémère;0.98;Bon;3.107;6.4;;oui;non;absent des catégories Wiktionnaire
héliotrope;Nature & Cosmos;0.98;Bon;2.431;6.75;;oui;non;absent des catégories Wiktionnaire
indolence;Sentiments & Psyché;0.98;Bon;3.398;9.259;;oui;non;absent des catégories Wiktionnaire
insoumis;Esprit & Caractère;0.98;Bon;2.978;5.588;;oui;non;absent des catégories Wiktionnaire
invective;Art & Langage;0.98;Bon;3.307;8.458;;oui;non;absent des catégories Wiktionnaire
neurasthénie;Sentiments & Psyché;0.98;Bon;3.107;9.143;;oui;non;absent des catégories Wiktionnaire
obséquieux;Esprit & Caractère;0.98;Bon;2.833;5.231;;oui;non;absent des catégories Wiktionnaire
ombrageux;Esprit & Caractère;0.98;Bon;3.276;6.097;;oui;non;absent des catégories Wiktionnaire
onirique;Philosophie & Idées;0.98;Bon;2.531;8.5;;oui;non;absent des catégories Wiktionnaire
ontologie;Philosophie & Idées;0.98;Bon;2.146;7.0;;oui;non;absent des catégories Wiktionnaire
ontologique;Philosophie & Idées;0.98;Bon;2.531;8.5;;oui;non;absent des catégories Wiktionnaire
oscillation;Nature & Cosmos;0.98;Bon;3.033;9.0;;oui;non;absent des catégories Wiktionnaire
ostensoir;Art & Langage;0.98;Bon;3.107;9.143;;oui;non;absent des catégories Wiktionnaire
outrageux;Esprit & Caractère;0.98;Bon;2.301;6.667;;oui;non;absent des catégories Wiktionnaire
pernicieux;Esprit & Caractère;0.98;Bon;3.033;6.0;;oui;non;absent des catégories Wiktionnaire
plébéien;Esprit & Caractère;0.98;Bon;2.531;8.5;;oui;non;absent des catégories Wiktionnaire
prolixe;Art & Langage;0.98;Bon;3.107;7.111;;oui;non;absent des catégories Wiktionnaire
précepteur;Esprit & Caractère;0.98;Bon;3.334;6.75;;oui;non;absent des catégories Wiktionnaire
précurseur;Temps & Éphémère;0.98;Bon;3.004;7.214;;oui;non;absent des catégories Wiktionnaire
préséance;Esprit & Caractère;0.98;Bon;2.672;9.4;;oui;non;absent des catégories Wiktionnaire
sardonique;Esprit & Caractère;0.98;Bon;2.978;9.5;;oui;non;absent des catégories Wiktionnaire
truisme;Philosophie & Idées;0.98;Bon;2.146;7.0;;oui;non;absent des catégories Wiktionnaire
turpitude;Esprit & Caractère;0.98;Bon;3.292;5.6;;oui;non;absent des catégories Wiktionnaire
vilipender;Esprit & Caractère;0.98;Bon;2.431;9.0;;oui;non;absent des catégories Wiktionnaire
élucubration;Art & Langage;0.98;Bon;3.033;6.0;;oui;non;absent des catégories Wiktionnaire
équinoxe;Nature & Cosmos;0.98;Bon;3.398;5.682;;oui;non;absent des catégories Wiktionnaire
nymphe;Nature & Cosmos;0.9775;Bon;3.607;4.5;poétique;oui;oui;
ménestrel;Art & Langage;0.96;Bon;2.146;1.0;soutenu;oui;oui;
murmure;Art & Langage;0.948;Bon;4.4;15.519;soutenu;oui;oui;
preux;Esprit & Caractère;0.944;Bon;2.869;1.156;littéraire;oui;oui;
épigone;Art & Langage;0.944;Bon;2.301;1.0;littéraire;oui;oui;
alcyon;Nature & Cosmos;0.94;Bon;2.785;4.692;;oui;non;absent des catégories Wiktionnaire
anachorète;Esprit & Caractère;0.94;Bon;2.613;4.1;;oui;non;absent des catégories Wiktionnaire
atermoiement;Esprit & Caractère;0.94;Bon;2.978;3.393;;oui;non;absent des catégories Wiktionnaire
caducité;Temps & Éphémère;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
calligramme;Art & Langage;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
captieux;Esprit & Caractère;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
causticité;Esprit & Caractère;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
caustique;Esprit & Caractère;0.94;Bon;3.061;3.382;;oui;non;absent des catégories Wiktionnaire
chrysanthème;Nature & Cosmos;0.94;Bon;3.276;4.2;;oui;non;absent des catégories Wiktionnaire
chthonien;Nature & Cosmos;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
concorde;Sentiments & Psyché;0.94;Bon;3.086;4.357;;oui;non;absent des catégories Wiktionnaire
conjecture;Philosophie & Idées;0.94;Bon;3.107;3.459;;oui;non;absent des catégories Wiktionnaire
célérité;Temps & Éphémère;0.94;Bon;2.944;3.385;;oui;non;absent des catégories Wiktionnaire
imbroglio;Esprit & Caractère;0.94;Bon;3.19;4.697;;oui;non;absent des catégories Wiktionnaire
immanence;Philosophie & Idées;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
impertinence;Esprit & Caractère;0.94;Bon;3.13;3.971;;oui;non;absent des catégories Wiktionnaire
indocile;Esprit & Caractère;0.94;Bon;2.869;3.217;;oui;non;absent des catégories Wiktionnaire
inextinguible;Sentiments & Psyché;0.94;Bon;2.869;4.111;;oui;non;absent des catégories Wiktionnaire
inflorescence;Nature & Cosmos;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
intrinsèque;Philosophie & Idées;0.94;Bon;2.613;3.154;;oui;non;absent des catégories Wiktionnaire
loquace;Art & Langage;0.94;Bon;3.307;3.5;;oui;non;absent des catégories Wiktionnaire
noumène;Philosophie & Idées;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
prémices;Temps & Éphémère;0.94;Bon;3.13;3.971;;oui;non;absent des catégories Wiktionnaire
psalmodie;Art & Langage;0.94;Bon;2.613;3.417;;oui;non;absent des catégories Wiktionnaire
ratiociner;Art & Langage;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
rhapsodie;Art & Langage;0.94;Bon;2.531;4.857;;oui;non;absent des catégories Wiktionnaire
scabreux;Esprit & Caractère;0.94;Bon;3.033;3.857;;oui;non;absent des catégories Wiktionnaire
scrupuleux;Esprit & Caractère;0.94;Bon;3.386;3.797;;oui;non;absent des catégories Wiktionnaire
stigmate;Philosophie & Idées;0.94;Bon;3.453;3.422;;oui;non;absent des catégories Wiktionnaire
sycophante;Esprit & Caractère;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
vitriolique;Esprit & Caractère;0.94;Bon;1.845;10.0;;oui;non;absent des catégories Wiktionnaire
éclectisme;Philosophie & Idées;0.94;Bon;2.301;4.0;;oui;non;absent des catégories Wiktionnaire
ésotérique;Philosophie & Idées;0.94;Bon;2.833;3.778;;oui;non;absent des catégories Wiktionnaire
imminent;Temps & Éphémère;0.924;Bon;3.675;1.833;soutenu;oui;oui;
cénobite;Esprit & Caractère;0.92;Bon;1.845;7.0;;oui;non;absent des catégories Wiktionnaire
firmament;Nature & Cosmos;0.92;Bon;3.307;1.293;poétique;oui;oui;
accablement;Sentiments & Psyché;0.91;Bon;3.554;17.048;;oui;non;absent des catégories Wiktionnaire
bonhomie;Esprit & Caractère;0.91;Bon;3.615;50.0;;oui;non;absent des catégories Wiktionnaire
connivence;Esprit & Caractère;0.91;Bon;3.784;10.133;;oui;non;absent des catégories Wiktionnaire
effluve;Nature & Cosmos;0.91;Bon;3.769;50.0;;oui;non;absent des catégories Wiktionnaire
frémissement;Art & Langage;0.91;Bon;3.933;15.6;;oui;non;absent des catégories Wiktionnaire
goguenard;Esprit & Caractère;0.91;Bon;3.585;50.0;;oui;non;absent des catégories Wiktionnaire
impérieux;Esprit & Caractère;0.91;Bon;3.816;17.237;;oui;non;absent des catégories Wiktionnaire
inexorable;Temps & Éphémère;0.91;Bon;3.577;11.455;;oui;non;absent des catégories Wiktionnaire
jubilation;Sentiments & Psyché;0.91;Bon;3.808;20.062;;oui;non;absent des catégories Wiktionnaire
narquois;Esprit & Caractère;0.91;Bon;3.675;39.417;;oui;non;absent des catégories Wiktionnaire
perplexité;Sentiments & Psyché;0.91;Bon;3.668;22.19;;oui;non;absent des catégories Wiktionnaire
tintamarre;Art & Langage;0.91;Bon;3.52;50.0;;oui;non;absent des catégories Wiktionnaire
volubile;Art & Langage;0.91;Bon;3.571;50.0;;oui;non;absent des catégories Wiktionnaire
affliction;Sentiments & Psyché;0.9;Bon;3.398;2.294;;oui;non;absent des catégories Wiktionnaire
ancestral;Temps & Éphémère;0.9;Bon;3.307;2.093;;oui;non;absent des catégories Wiktionnaire
calice;Art & Langage;0.9;Bon;3.422;2.2;;oui;non;absent des catégories Wiktionnaire
courroux;Sentiments & Psyché;0.9;Bon;3.32;0.589;soutenu+poétique;oui;oui;oral/familier (ratio=0.59)
césure;Art & Langage;0.9;Bon;2.613;2.929;;oui;non;absent des catégories Wiktionnaire
effronterie;Esprit & Caractère;0.9;Bon;3.061;2.5;;oui;non;absent des catégories Wiktionnaire
fripon;Esprit & Caractère;0.9;Bon;2.613;2.733;;oui;non;absent des catégories Wiktionnaire
funambule;Art & Langage;0.9;Bon;3.13;2.596;;oui;non;absent des catégories Wiktionnaire
hermétique;Philosophie & Idées;0.9;Bon;3.292;2.39;;oui;non;absent des catégories Wiktionnaire
idylle;Sentiments & Psyché;0.9;Bon;3.431;2.523;;oui;non;absent des catégories Wiktionnaire
incantation;Art & Langage;0.9;Bon;3.152;2.407;;oui;non;absent des catégories Wiktionnaire
inimitié;Sentiments & Psyché;0.9;Bon;2.869;2.387;;oui;non;absent des catégories Wiktionnaire
intrépide;Esprit & Caractère;0.9;Bon;3.442;2.022;;oui;non;absent des catégories Wiktionnaire
langoureux;Sentiments & Psyché;0.9;Bon;3.228;2.522;;oui;non;absent des catégories Wiktionnaire
luminescence;Lumière & Ombres;0.9;Bon;2.146;2.8;;oui;non;absent des catégories Wiktionnaire
léthargie;Sentiments & Psyché;0.9;Bon;3.32;2.787;;oui;non;absent des catégories Wiktionnaire
ostracisme;Esprit & Caractère;0.9;Bon;3.033;2.298;;oui;non;absent des catégories Wiktionnaire
patène;Art & Langage;0.9;Bon;2.431;2.7;;oui;non;absent des catégories Wiktionnaire
quintessence;Philosophie & Idées;0.9;Bon;3.086;2.837;;oui;non;absent des catégories Wiktionnaire
solstice;Nature & Cosmos;0.9;Bon;3.107;2.37;;oui;non;absent des catégories Wiktionnaire
stoïque;Philosophie & Idées;0.9;Bon;2.944;2.514;;oui;non;absent des catégories Wiktionnaire
suzerain;Esprit & Caractère;0.9;Bon;2.672;2.35;;oui;non;absent des catégories Wiktionnaire
transitoire;Temps & Éphémère;0.9;Bon;3.004;2.59;;oui;non;absent des catégories Wiktionnaire
troubadour;Art & Langage;0.9;Bon;2.978;2.794;;oui;non;absent des catégories Wiktionnaire
élégiaque;Art & Langage;0.9;Bon;2.301;2.0;;oui;non;absent des catégories Wiktionnaire
élégie;Art & Langage;0.9;Bon;2.431;2.455;;oui;non;absent des catégories Wiktionnaire
épicurien;Philosophie & Idées;0.9;Bon;2.531;2.429;;oui;non;absent des catégories Wiktionnaire
consternation;Sentiments & Psyché;0.89;Bon;3.656;6.565;;oui;non;absent des catégories Wiktionnaire
effervescence;Sentiments & Psyché;0.89;Bon;3.577;9.45;;oui;non;absent des catégories Wiktionnaire
immuable;Temps & Éphémère;0.89;Bon;3.894;6.323;;oui;non;absent des catégories Wiktionnaire
insouciance;Sentiments & Psyché;0.89;Bon;3.898;6.878;;oui;non;absent des catégories Wiktionnaire
morose;Sentiments & Psyché;0.89;Bon;3.859;7.23;;oui;non;absent des catégories Wiktionnaire
métaphysique;Philosophie & Idées;0.89;Bon;3.615;6.438;;oui;non;absent des catégories Wiktionnaire
opulence;Esprit & Caractère;0.89;Bon;3.511;6.0;;oui;non;absent des catégories Wiktionnaire
satyre;Esprit & Caractère;0.89;Bon;3.585;9.167;;oui;non;absent des catégories Wiktionnaire
zénith;Nature & Cosmos;0.89;Bon;3.529;5.365;;oui;non;absent des catégories Wiktionnaire
énigmatique;Philosophie & Idées;0.89;Bon;3.769;7.35;;oui;non;absent des catégories Wiktionnaire
