mot;pertinence;complexite;theme;définition;etymologie;exemple;synonymes
sibyllin;5;Intermédiaire;Philosophie & Idées;Dont le sens est obscur, mystérieux ou présente un double sens caché.;De la Sibylle, prêtresse de l'Antiquité rendant des oracles énigmatiques.;Ses propos sibyllins laissèrent la foule dans une profonde perplexité.;énigmatique, mystérieux, hermétique, obscur
alacrité;5;Intermédiaire;Sentiments & Psyché;Gaieté vive, entraînante et pleine de jeunesse d'esprit.;"Du latin ""alacritas"" (gaieté, ardeur).";Le vieil homme se mit en route avec une alacrité surprenante pour son âge.;gaieté, entrain, vivacité, allégresse
félicité;5;Intermédiaire;Sentiments & Psyché;Bonheur suprême, complet et paisible de l'esprit.;"Du latin ""felicitas"" (bonheur, chance).";Les jeunes mariés savouraient des jours d'une douce félicité.;béatitude, béatitude, joie, contentement
indolence;5;Intermédiaire;Sentiments & Psyché;"Disposition naturelle à éviter l'effort physique ou moral ; paresse douce.";"Du latin ""indolentia"" (absence de douleur).";Elle s'étira avec une indolence de félin au soleil de midi.;nonchalance, paresse, apathie, oisiveté
langueur;5;Intermédiaire;Sentiments & Psyché;État physique ou moral de faiblesse agréable propice à la mélancolie amoureuse.;"Du latin ""languor"" (fatigue douce, maladie).";Les jours d'été s'écoulaient dans une langueur pleine de songes.;indolence, fatigue douce, alanguissement
spleen;5;Intermédiaire;Sentiments & Psyché;Mélancolie sans cause définie, ennui profond et dégoût de la vie.;"De l'anglais ""spleen"" (rate, siège supposé de la mélancolie).";Le spleen de Baudelaire exprime la blessure de l'âme face au monde réel.;mélancolie, ennui, cafard, vague à l'âme
fugace;5;Intermédiaire;Temps & Éphémère;Qui s'enfuit ou s'évanouit très rapidement, difficile à saisir au vol.;"Du latin ""fugax"" (enclin à fuir).";Il aperçut une ombre fugace glisser discrètement derrière le rideau.;éphémère, rapide, transitoire, passager
prémices;5;Intermédiaire;Temps & Éphémère;"Les tout premiers fruits de la terre offerts aux dieux ; au figuré, premiers signes d'un événement.";"Du latin ""primitiae"" (premiers fruits, prémices).";Le débourrement des bourgeons est l'une des prémices attendues du printemps.;débuts, prélude, commencements, prémices
réminiscence;5;Intermédiaire;Temps & Éphémère;Retour vague d'un souvenir à la conscience, sans effort volontaire.;"Du latin ""reminiscentia"" (action de se souvenir).";L'odeur des lilas provoqua chez elle une réminiscence de ses étés d'enfance.;souvenir, évocation, trace, mémoire
vicissitude;5;Intermédiaire;Temps & Éphémère;Changements successifs et imprévisibles de la vie, souvent malheureux.;"Du latin ""vicissitudo"" (alternance, changement).";Malgré les vicissitudes de l'existence, elle conserva son beau sourire.;aléa, vicissitude, changement, épreuve
évanescent;5;Intermédiaire;Temps & Éphémère;Qui s'efface ou disparaît doucement, comme de la fumée dans l'air.;"Du latin ""evanescere"" (s'évanouir).";Les souvenirs d'enfance sont parfois évanescents comme des songes.;fugace, éphémère, impalpable, vaporeux
libation;5;Expert;Art & Langage;Action de répandre un liquide sacré (vin, lait) en offrande solennelle à une divinité.;"Du latin ""libatio"" (offrande de boisson).";Les prêtres offrirent des libations de miel aux dieux de l'Olympe.;offrande, sacrifice, beuverie (familier)
palimpseste;5;Expert;Art & Langage;Parchemin ancien dont on a effacé la première écriture pour y peindre un nouveau texte.;"Du grec ""palimpsestos"" (gratté à nouveau).";La mémoire humaine est un palimpseste où s'empilent les souvenirs effacés.;manuscrit, parchemin, mémoire
vélin;5;Expert;Art & Langage;Peau de veau mort-né, extrêmement fine et lisse, servant à calligraphier des manuscrits précieux.;"Ancien français ""velin"" (de veau).";Ce missel de luxe était entièrement écrit sur du vélin pur.;parchemin, peau
longanimité;5;Expert;Esprit & Caractère;Patience et indulgence patiente face aux épreuves, aux provocations ou aux offenses.;"Du latin ""longanimitas"" (grandeur d'âme qui endure longtemps).";La longanimité de cet enseignant face aux élèves rebelles forçait le respect.;patience, clémence, indulgence, grandeur d'âme
pusillanime;5;Expert;Esprit & Caractère;Qui manque d'audace, de courage moral et recule devant les moindres difficultés.;"Du latin ""pusillus"" (tout petit, mesquin) et ""animus"" (esprit, courage).";Son comportement pusillanime l'empêcha de s'opposer à la décision injuste de son chef.;timoré, lâche, craintif, irrésolu
sycophante;5;Expert;Esprit & Caractère;Personne hypocrite qui agit par délation calomnieuse et sournoise.;"Du grec ""sukophantes"" (celui qui dénonce les voleurs de figues à Athènes).";Méfie-toi de ce sycophante qui murmure des calomnies à l'oreille du patron.;délateur, dénonciateur, traître, calomniateur
thuriféraire;5;Expert;Esprit & Caractère;"Clergé chargé de porter l'encensoir ; au figuré, flatteur outrancier et servile.";"Du latin ""thuris"" (encens) et ""ferre"" (porter).";Les thuriféraires du président louaient la moindre de ses décisions.;flatteur, adulateur, courtisan, encenseur
valétudinaire;5;Expert;Esprit & Caractère;Se dit d'une personne dont la santé est fragile, chancelante et sujette aux maladies.;"Du latin ""valetudinarius"" (malade, infirme).";Ce vieil homme valétudinaire ne sortait plus guère de sa chambre.;maladif, égrotant, souffreteux, fragile
coruscant;5;Expert;Lumière & Ombres;"Qui brille d'un éclat vif et scintillant ; par extension, brillant de raffinement intellectuel.";"Du latin ""coruscans"" (scintillant, flamboyant).";Il éblouit le salon avec son esprit coruscant et ses répliques ciselées.;scintillant, brillant, flamboyant, étincelant
fuligineux;5;Expert;Lumière & Ombres;"Qui rappelle la suie ou la fumée épaisse ; au figuré, confus et obscur.";"Du latin ""fuligo"" (suie).";Son esprit encombré formulait des idées particulièrement fuligineuses.;sombre, obscur, confus, brumeux
vespéral;5;Expert;Lumière & Ombres;"Qui concerne ou se produit durant le soir ; crépusculaire.";"Du latin ""vesper"" (le soir).";Les oiseaux chantaient leur prière vespérale sous la fraîcheur naissante.;crépusculaire, nocturne
chthonien;5;Expert;Nature & Cosmos;Relatif aux profondeurs de la terre, aux enfers ou aux forces souterraines primitives.;"Du grec ""khthon"" (la terre).";Les rituels chthoniens étaient dédiés à Déméter pour assurer les récoltes.;souterrain, infernal, tellurique
empyrée;5;Expert;Nature & Cosmos;Dans l'Antiquité, la partie la plus élevée du ciel, séjour de la lumière et des dieux.;"Du grec ""empuros"" (brûlant, embrasé).";Les philosophes grecs plaçaient les Idées parfaites dans l'empyrée.;ciel, paradis, olympe
lustral;5;Expert;Nature & Cosmos;Qui sert à purifier rituellement (ex: l'eau lustrale).;"Du latin ""lustrum"" (sacrifice de purification tous les cinq ans).";Le prêtre aspergea l'autel d'eau lustrale pour en chasser les esprits.;purificateur, sacré
nadir;5;Expert;Nature & Cosmos;Le point de la voûte céleste situé verticalement sous les pieds de l'observateur (opposé au zénith).;"De l'arabe ""naẓīr"" (opposé).";Le soleil à minuit se trouve précisément au nadir de notre horizon.;fond, opposé au zénith
pétrichor;5;Expert;Nature & Cosmos;L'odeur particulièrement fraîche et terreuse que dégage le sol après une ondée de pluie sur la terre sèche.;"Du grec ""petra"" (pierre) et ""ichor"" (le sang des dieux grecs).";J'adore me promener en forêt pour respirer le pétrichor après l'averse.;odeur de pluie
obsidional;5;Expert;Philosophie & Idées;"Qui concerne le siège d'une ville ; au figuré, sentiment d'inquiétude ou d'encerclement permanent.";"Du latin ""obsidio"" (siège d'une forteresse).";Il souffrait d'un délire obsidional, se croyant traqué par des ennemis invisibles.;obsédant, assiégeant
substantifique;5;Expert;Philosophie & Idées;Qui contient l'essence nourricière et substantielle d'une idée ou d'une œuvre (ex: la substantifique moelle).;"Forgé par Rabelais d'après le latin ""substantia"".";Le lecteur attentif saura extraire la substantifique moelle de ce roman philosophique.;essentiel, substantiel, nourricier
synesthésie;5;Expert;Philosophie & Idées;Phénomène neurologique ou poétique associant plusieurs perceptions de sens différents (ex: un son coloré).;"Du grec ""sun"" (avec) et ""aisthesis"" (sensation).";"Baudelaire utilise la synesthésie dans son poème ""Correspondances"" : les parfums ont des couleurs.";association sensorielle
sérendipité;5;Expert;Philosophie & Idées;Fait de faire une découverte scientifique ou intellectuelle par hasard et sagacité.;"Forger par Horace Walpole d'après le conte persan ""Les Trois Princes de Serendip"".";La découverte fortuite de la pénicilline est un cas classique de sérendipité.;hasard heureux, découverte accidentelle
ataraxie;5;Expert;Sentiments & Psyché;Tranquillité de l'âme, paix de l'esprit absolue obtenue par la modération des passions.;"Du grec ""ataraxia"" (absence de trouble, impassibilité).";Les stoïciens cherchaient à atteindre l'ataraxie en acceptant le destin.;impassibilité, quiétude, sérénité, calme, paix
dilection;5;Expert;Sentiments & Psyché;Amour tendre, spirituel et tout à fait désintéressé pour quelqu'un.;"Du latin ""dilectio"" (amour d'élection).";Le maître portait à son plus jeune élève une dilection toute paternelle.;amour, affection, prédilection, tendresse
équanimité;5;Expert;Sentiments & Psyché;Égalité d'humeur inaltérable, sérénité de l'esprit constante face au bonheur ou au malheur.;"Du latin ""aequanimitas"" (esprit égal).";Elle accueillit la critique injuste avec une parfaite équanimité.;impassibilité, détachement, sérénité, flegme
déliquescence;5;Expert;Temps & Éphémère;État de décadence complète, de décomposition sociale ou de perte de valeurs morales.;"Du latin ""deliquescere"" (se dissoudre, fondre).";Cette république en déliquescence était en proie à la corruption généralisée.;décadence, décomposition, déclin, dégradation
dilettante;4;Débutant;Art & Langage;Personne qui s'exerce à un art ou s'adonne à une science en amateur, pour son plaisir.;"De l'italien ""dilettante"" (qui prend plaisir).";Il peint en dilettante durant ses vacances pour se détendre.;amateur, curieux, touche-à-tout
esthète;4;Débutant;Art & Langage;Personne qui accorde une importance exclusive à l'art et à la beauté.;"Du grec ""aisthesis"" (sensation, perception).";En esthète averti, il collectionnait les premières éditions reliées de cuir.;amateur d'art, dandy, connaisseur
frémissement;4;Débutant;Art & Langage;Léger tremblement ou frissonnement physique ou sonore, souvent lié à une émotion.;"Du latin ""fremere"" (bruire, gronder).";Un frémissement de feuilles annonçait le lever du vent du soir.;frisson, tremblement, palpitation, murmure
grimoire;4;Débutant;Art & Langage;"Livre ancien contenant des formules magiques ; écriture particulièrement illisible.";"Altération de ""grammaire"" (le latin au Moyen Âge passait pour magique).";L'érudit tentait de déchiffrer ce vieux grimoire poussiéreux.;livre de magie, manuscrit, codex
incantation;4;Débutant;Art & Langage;Formules rituelles et magiques prononcées pour invoquer des forces surnaturelles.;"Du latin ""incantatio"" (enchantement).";Le chaman murmurait des incantations autour du grand feu de bois.;enchantement, sortilège, prière, charme
laconique;4;Débutant;Art & Langage;"Qui s'exprime en peu de mots ; concis et direct (à la manière des Lacédémoniens).";"Du grec ""Lakonikos"" (de Laconie, région de Sparte prônant la concision).";"Il se contenta d'une réponse laconique : un simple ""oui"".";bref, concis, sobre, succinct
loquace;4;Débutant;Art & Langage;Qui parle avec beaucoup de facilité et d'abondance.;"Du latin ""loquax"" (parleur).";Après un verre de vin, l'homme secret devint soudain très loquace.;bavard, volubile, prolixe
murmure;4;Débutant;Art & Langage;Bruit doux, feutré, continu et indistinct de voix ou d'éléments naturels.;"Du latin ""murmur"" (bruit indistinct).";Le murmure de la brise dans les pins calmait ses pensées agitées.;chuchotement, bruissement, rumeur
somnambule;4;Débutant;Art & Langage;Personne qui effectue de façon automatique des déplacements durant son sommeil profond.;"Du latin ""somnus"" (sommeil) et ""ambulare"" (marcher).";L'enfant somnambule s'était levé au milieu de la nuit pour ranger ses jouets.;noctambule, rêveur
soporifique;4;Débutant;Art & Langage;Qui provoque le sommeil ou se révèle d'un ennui mortel (ex: un cours soporifique).;"Du latin ""sopor"" (sommeil profond) et ""facere"" (faire).";Sa voix monocorde exerçait un effet soporifique sur tout l'auditoire.;somnifère, ennuyeux, assommant
talisman;4;Débutant;Art & Langage;Objet portant des signes magiques gravés et doté de vertus protectrices sacrées.;"Du grec ""telesma"" (rite d'initiation, consécration).";Il portait toujours ce vieux médaillon d'argent comme un talisman.;amulette, fétiche, porte-bonheur
trépidation;4;Débutant;Art & Langage;"Secousses rapides et continuelles ; agitation fébrile de la vie moderne.";"Du latin ""trepidatio"" (agitation désordonnée).";Les trépidations de la rame de métro l'empêchaient de lire tranquillement.;agitation, vibration, frémissement
volubile;4;Débutant;Art & Langage;Qui parle avec une rapidité et une abondance de paroles ininterrompue.;"Du latin ""volubilis"" (qui tourne facilement).";Elle raconta son voyage d'une voix enjouée et volubile.;loquace, bavard, prolixe
élixir;4;Débutant;Art & Langage;Breuvage magique, spirituel ou liqueur particulièrement concentrée et précieuse.;"De l'arabe ""al-iksīr"" (substance magique pour transmuter les métaux).";Elle buvait les paroles du conférencier comme un élixir de sagesse.;breuvage, philtre, essence, liqueur
bonhomie;4;Débutant;Esprit & Caractère;Simplicité de manières unie à de la bonté et de la cordialité.;"Dérivé de ""bon homme"".";Sa bonhomie naturelle inspirait immédiatement confiance à ses visiteurs.;gentillesse, cordialité, affabilité, simplicité
circonspect;4;Débutant;Esprit & Caractère;Qui agit avec une prudence réfléchie, en pesant ses paroles et ses actes.;"Du latin ""circumspectus"" (qui regarde autour de soi).";Il se montra très circonspect avant de signer le contrat de vente.;prudent, méfiant, réservé, avisé
clémence;4;Débutant;Esprit & Caractère;Disposition généreuse à pardonner aux coupables ou à adoucir leur punition.;"Du latin ""clementia"" (douceur, indulgence).";L'accusé a imploré la clémence du tribunal pour ses fautes.;mansuétude, pardon, indulgence, miséricorde
facétieux;4;Débutant;Esprit & Caractère;"Qui aime faire des farces pleines de malice amicale ; enjoué.";"Du latin ""facetia"" (plaisanterie, mot d'esprit).";Le grand-père facétieux cachait toujours des friandises dans ses poches.;espiègle, farceur, enjoué, malicieux
fallacieux;4;Débutant;Esprit & Caractère;Destiné à induire en erreur avec une apparence trompeuse de vérité.;"Du latin ""fallaciosus"" (trompeur).";Il avança des arguments fallacieux pour justifier son absence injustifiée.;trompeur, captieux, mensonger, illusoire
flegmatique;4;Débutant;Esprit & Caractère;Qui conserve son calme et sa froideur impassible en toutes circonstances.;"Du grec ""phlegmatikos"" (chargé de phlegme, l'humeur froide).";Son tempérament flegmatique lui évita de céder à la panique pendant l'incendie.;impassible, calme, placide, stoïque
impérieux;4;Débutant;Esprit & Caractère;"Qui exige obéissance sans discussion ; autoritaire ou pressant.";"Du latin ""imperiosus"" (qui commande).";Il éprouva le besoin impérieux de sortir respirer l'air frais.;autoritaire, pressant, irrésistible, urgent
indocile;4;Débutant;Esprit & Caractère;"Qui refuse d'obéir aux règles ou de se soumettre à une autorité ; rebelle.";"Du latin ""indocilis"" (difficile à enseigner).";Ce cheval indocile refusait de se laisser seller par le palefrenier.;rebelle, indiscipliné, récalcitrant, insoumis
insidieux;4;Débutant;Esprit & Caractère;Qui se propage sournoisement en présentant un danger caché sous des apparences favorables.;"Du latin ""insidiosus"" (plein d'embûches, trompeur).";La maladie s'installa de manière insidieuse, sans symptômes clairs.;sournois, hypocrite, perfide, captieux
insoumis;4;Débutant;Esprit & Caractère;Qui refuse d'obéir aux ordres légitimes ou de se plier à une autorité établie.;"Dérivé de ""soumettre"" avec préfixe négatif (in-soumis).";Le poète insoumis fut exilé loin de sa terre natale.;rebelle, indocile, insurgé, rétif
intrépide;4;Débutant;Esprit & Caractère;Qui affronte les plus grands dangers sans éprouver de crainte.;"Du latin ""intrepidus"" (sans peur).";L'explorateur intrépide s'enfonça seul dans la jungle inexplorée.;hardi, courageux, téméraire, brave
mentor;4;Débutant;Esprit & Caractère;Guide spirituel, conseiller expérimenté et bienveillant qui oriente la vie de quelqu'un.;De Mentor, personnage de l'Odyssée, guide du jeune Télémaque.;Il considère son ancien professeur comme son mentor de toujours.;guide, conseiller, tuteur, maître
narquois;4;Débutant;Esprit & Caractère;Se dit d'une attitude ou d'un regard moqueur, malicieux et narquois.;Origine obscure (argot des soldats narquois au XVIIe siècle).;Il lui jeta un sourire narquois, sachant qu'elle mentait.;moqueur, goguenard, ironique, malicieux
noctambule;4;Débutant;Esprit & Caractère;Personne qui aime vivre, flâner ou s'amuser durant la nuit.;"Du latin ""nox"" (nuit) et ""ambulare"" (marcher).";Les noctambules commençaient à envahir les ruelles animées du quartier latin.;couche-tard, nocturne, flâneur
opulence;4;Débutant;Esprit & Caractère;Richesse matérielle immense qui se manifeste par un luxe abondant.;"Du latin ""opulentia"" (richesse).";Le palais ducal étalait une opulence qui offensait la misère du peuple.;richesse, abondance, luxe, faste
ostentatoire;4;Débutant;Esprit & Caractère;Qui s'affiche de manière provocante et excessive pour attirer l'attention ou l'envie.;"Du latin ""ostentare"" (montrer avec vanité).";Elle portait des bijoux ostentatoires lors de cette réception simple.;voyant, prétentieux, pompeux, tape-à-l'œil
paria;4;Débutant;Esprit & Caractère;"Individu banni d'une caste en Inde ; au figuré, personne exclue et rejetée par un groupe social.";"Du tamoul ""paraiyar"" (joueur de tambour de basse caste).";Il se sentait comme un paria au sein de sa propre famille.;banni, proscrit, exclu, rejeté
procrastination;4;Débutant;Esprit & Caractère;Tendance maladive à différer ou à remettre au lendemain des tâches nécessaires.;"Du latin ""procrastinatio"" (remise au lendemain).";La procrastination est le grand fléau des étudiants en période de révisions.;atermoiement, paresse, retardement
